Property Id,Property Name,Parent Property Id,Parent Property Name,City,Primary Property Type - Portfolio Manager-Calculated,Year Built,Construction Status,Occupancy,Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings) (ft²),Borough,Metered Areas (Energy),Metered Areas (Water),ENERGY STAR Score,National Median ENERGY STAR Score,Target ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Source EUI (kBtu/ft²),Source Energy Use (kBtu),Green Power - Onsite and Offsite (kWh),eGRID Output Emissions Rate (kgCO2e/MBtu),Percent of Electricity that is Green Power,"Alert - Data Center Issue (with Estimates, IT Configuration, or IT Meter)",Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has gaps,Alert - Energy Meter has overlaps,Alert - Energy - No meters selected for metrics,Alert - Energy Meter has single entry more than 65 days,Alert - Water Meter has less than 12 full calendar months of data,Alert - Property has no uses,Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Net Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),Building Age,Base LL97 Penalty,Base Penalty $/ft²,Decade Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),District Steam Use (kBtu),Diesel #2 Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu),GHG Emissions Intensity,Calculated Limit,Excess Emissions
2665352,Stellar - 70 West 93rd Street,20599688,Stellar - Campus West 93rd Street,New York City,Multifamily Housing,1970,Existing,100,261980.0,261980.0,Manhattan,Whole Property,Whole Property,100.0,50,,19.2,5022480.9,48.2,12615136.7,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,398.6,1.5,398.6,945.9,51,0.0,0.4078,1970s,,0.0,,,,,,,827319.8,4195161.0,0.0015214901900908466,1309.9,0.0
2665400,Stellar - 28-50 West 97th Street,Standalone,Standalone,New York City,Multifamily Housing,1943,Existing,100,363092.0,333342.0,Manhattan,Whole Property,Whole Property,84.0,50,,66.9,22315905.8,93.3,31096872.8,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,1323.0,4.0,1323.0,1721.6,78,0.0,0.9765,1940s,,,,,,,,,17935807.7,4380098.1,0.003968896808682974,1666.71,0.0
2665405,Stellar - 310 Greenwich St,Standalone,Standalone,New York City,Multifamily Housing,1975,Existing,100,1345900.0,1112900.0,Manhattan,Whole Property,Whole Property,3.0,50,,113.8,126690147.9,161.3,179551334.7,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,7582.1,6.8,7582.1,4697.7,46,540716.8,1.5098,1970s,,800772.6,,,,,,,99284398.0,26604977.3,0.006812921196873035,5564.5,2017.6000000000004
2669439,SW - 85-02 139th St,Standalone,Standalone,New York City,Multifamily Housing,1953,Existing,100,97520.0,87020.0,Queens,Whole Property,Whole Property,37.0,50,,102.1,8886592.8,133.0,11571069.8,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,518.3,6.0,518.3,478.0,68,22297.59999999998,1.4244,1950s,,276000.0,,,,,,,7324199.9,1286392.8,0.005956102045506779,435.1,83.19999999999993
2665443,Stellar - 1061 St. Nicholas Ave,Standalone,Standalone,New York City,Multifamily Housing,1958,Existing,100,52428.0,52428.0,Manhattan,Whole Property,Whole Property,42.0,50,,118.4,6207689.1,152.9,8018184.4,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,356.7,6.8,356.7,339.8,63,25342.08,1.8234,1950s,,,,,,,,,5350482.9,857206.2,0.006803616388189517,262.14,94.56
2665447,Stellar - 65 Ft. Washington Ave,Standalone,Standalone,New York City,Multifamily Housing,1973,Existing,100,72216.0,72216.0,Manhattan,Whole Property,Whole Property,75.0,50,,91.3,6595081.3,118.5,8559389.7,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,379.6,5.3,379.6,458.0,48,4963.360000000011,1.4087,1970s,,,,,,,,,5661050.3,934031.0,0.005256452863631329,361.08,18.52000000000004
2665452,Stellar - 105 Haven Avenue,Standalone,Standalone,New York City,Multifamily Housing,1925,Existing,100,58574.0,58574.0,Manhattan,Whole Property,Whole Property,65.0,50,84.0,86.4,5060392.3,113.9,6669673.3,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,293.1,5.0,293.1,324.6,96,61.640000000004875,1.3411,1920s,,,,,,,,,4285385.8,775006.5,0.005003926656878479,292.87,0.2300000000000182
2665471,Stellar - 117-23 Dyckman Street,Standalone,Standalone,New York City,Multifamily Housing,1924,Existing,100,70500.0,70500.0,Manhattan,Whole Property,Whole Property,18.0,50,,95.5,6732998.3,146.0,10293497.7,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,415.5,5.9,415.5,329.8,97,16884.0,1.5795,1920s,,,,,,,,,4890798.5,1842199.7,0.005893617021276595,352.5,63.0
2665472,Stellar - 118-28 Vermilyea Ave,20599673,Stellar - Campus - Vermilyea Avenue,New York City,Multifamily Housing,1925,Existing,100,61338.0,61338.0,Manhattan,Whole Property,Whole Property,4.0,50,,128.0,7851498.2,187.8,11521733.0,0.0,84.5,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,475.9,7.8,475.9,302.0,96,45348.27999999999,2.0793,1920s,,,,,,,,,5978549.6,1872948.5,0.0077586487984609865,306.69,169.20999999999998
2665474,Stellar - 106-16 Vermilyea Ave,20599673,Stellar - Campus - Vermilyea Avenue,New York City,Multifamily Housing,1925,Existing,100,61338.0,61338.0,Manhattan,Whole Property,Whole Property,,50,,,,,,,84.5,,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,0.0,0.0,0.0,228.3,96,0.0,0.0,1920s,,,,,,,,,,,0.0,306.69,0.0
